,timestamp,latitude,longitude,weekday,time_of_day
326,1539428305.0,52.2289592,21.0010429,5,658
327,1539428203.0,52.2227343,21.0048233,5,656
328,1539428144.0,52.2198597,21.0052006,5,655
329,1539428082.0,52.2199447,21.0048714,5,654
330,1539428021.0,52.199354,21.0011251,5,653
331,1539427941.0,52.2013848,21.0006959,5,652
332,1539427835.0,52.2013848,21.0006959,5,650
333,1539427747.0,52.2013848,21.0006959,5,649
334,1539427687.0,52.2013848,21.0006959,5,648
335,1539427567.0,52.1987423,21.0015202,5,646
336,1539427549.0,52.1990219,21.0014912,5,645
337,1539427504.0,52.1990995,21.002223,5,645
338,1539427443.0,52.1991513,21.0038189,5,644
339,1539427383.0,52.199,21.0046872,5,643
340,1539427323.0,52.1987,21.0045424,5,642
341,1539427262.0,52.1987488,21.0042654,5,641
342,1539427171.0,52.198765,21.0043771,5,639
343,1539427068.0,52.198759,21.004291,5,637
344,1539423755.0,52.1987515,21.0043087,5,582
345,1539423694.0,52.1987515,21.0043087,5,581
346,1539423602.0,52.1987515,21.0043087,5,580
347,1539423510.0,52.1987515,21.0043087,5,578
348,1539423426.0,52.1987515,21.0043087,5,577
349,1539423422.0,52.1988289,21.0045113,5,577
350,1539423422.0,52.1988289,21.0045113,5,577
351,1539420641.0,52.1987494,21.004307,5,530
352,1539420525.0,52.1987494,21.004307,5,528
353,1539420464.0,52.1987494,21.004307,5,527
354,1539420393.0,52.1987534,21.0043429,5,526
355,1539420265.0,52.1987534,21.0043429,5,524
356,1539420092.0,52.1987513,21.0043037,5,521
357,1539419975.0,52.1987513,21.0043037,5,519
358,1539419876.0,52.1987513,21.0043037,5,517
359,1539419791.0,52.198766,21.0044077,5,516
360,1539419685.0,52.198766,21.0044077,5,514
361,1539419490.0,52.1987506,21.0043266,5,511
362,1539419395.0,52.1987506,21.0043266,5,509
363,1539419190.0,52.1987527,21.0042996,5,506
364,1539419066.0,52.1987527,21.0042996,5,504
365,1539418975.0,52.1987527,21.0042996,5,502
366,1539418885.0,52.1987503,21.0043296,5,501
367,1539418813.0,52.1987503,21.0043296,5,500
368,1539418717.0,52.1987503,21.0043296,5,498
369,1539418585.0,52.1987584,21.0043391,5,496
370,1539418493.0,52.1987584,21.0043391,5,494
371,1539418431.0,52.1987584,21.0043391,5,493
372,1539418284.0,52.1987584,21.0043391,5,491
373,1539418232.0,52.1987454,21.0043144,5,490
374,1539418072.0,52.1987454,21.0043144,5,487
375,1539417984.0,52.1987454,21.0043144,5,486
376,1539417941.0,52.1987579,21.0042993,5,485
377,1539417824.0,52.1987579,21.0042993,5,483
378,1539417744.0,52.1987579,21.0042993,5,482
379,1539417660.0,52.1987581,21.004341,5,481
380,1539417600.0,52.1987581,21.004341,5,480
464,1539379586.0,52.1987519,21.0043144,4,1286
465,1539379544.0,52.1987623,21.0043682,4,1285
466,1539379323.0,52.1987623,21.0043682,4,1282
467,1539379258.0,52.1987623,21.0043682,4,1280
